Class	Gene	Accession	Drug
aminoglycoside	ant(2'')-Ia_11	HM367620	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_12	HQ880250	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_13	DQ176450	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_14	DQ266447	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_15	EF205594	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_16	HQ386848	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_17	JTTZ01000034	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_19	GQ466184	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_20	AY139599	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_1	X04555	gentamicin,kanamycin
aminoglycoside	aph(3')-VI_1	KC170992	kanamycin
aminoglycoside	aph(3')-XV_2	GQ626879	kanamycin
aminoglycoside	aph(3')-XV_3	EU165039	kanamycin
aminoglycoside	aph(3')-IIIa_1	AF330699	kanamycin
aminoglycoside	aph(3')-IIIa_2	AJ490186	kanamycin
aminoglycoside	aph(3')-IIIa_3	AB247327	kanamycin
aminoglycoside	aph(3')-Va_2	AB211959	kanamycin
aminoglycoside	aph(3')-Vb_2	AJ744850	kanamycin
aminoglycoside	aph(3')-IIa_2	V00618	kanamycin
aminoglycoside	aph(3')-IIb_2	CP006832	kanamycin
aminoglycoside	aph(3')-Ia_2	EU287476	kanamycin
aminoglycoside	aph(3')-Ia_3	EF015636	kanamycin
aminoglycoside	aph(3')-Ia_4	AF498082	kanamycin
aminoglycoside	aph(3')-Ia_5	AP004237	kanamycin
aminoglycoside	aph(3')-Ia_6	L05392	kanamycin
aminoglycoside	aph(3')-Ia_7	X62115	kanamycin
aminoglycoside	aph(3')-Ia_8	Y00452	kanamycin
aminoglycoside	aph(3')-Ia_9	EU722351	kanamycin
aminoglycoside	aph(3')-Ia_10	EU855787	kanamycin
aminoglycoside	aph(2'')-Ih_1	KF652096	kanamycin
aminoglycoside	aph(2'')-Ig_1	CP004067	kanamycin
aminoglycoside	aph(2'')-If_1	KF652097	kanamycin
aminoglycoside	aph(2'')-If_2	AY701528	kanamycin
aminoglycoside	aph(2'')-Ia_2	AP009486	kanamycin
aminoglycoside	aph(2'')-Ia_3	AJ536195	kanamycin
aminoglycoside	aph(2'')-Ib_1	KF652098	gentamicin
aminoglycoside	aph(2'')-If_1	KF652097	gentamicin
aminoglycoside	aph(2'')-Ih_1	KF652096	gentamicin
aminoglycoside	aac(6')-aph(2'')_1	KF652095	gentamicin
aminoglycoside	ant(6)-Ia_3	KF864551	streptomycin
aminoglycoside	aac(2')-Ia_1	L06156	gentamicin
aminoglycoside	aac(2')-Ib_1	U41471	gentamicin
aminoglycoside	aac(2')-Ic_1	U72714	gentamicin
aminoglycoside	aac(2')-Id_1	U72743	gentamicin
aminoglycoside	aac(2')-Ie_1	NC011896	gentamicin
aminoglycoside	aac(3)-I_1	AJ877225	gentamicin
aminoglycoside	aac(3)-Ia_1	X15852	gentamicin
aminoglycoside	aac(3)-Ib_1	L06157	gentamicin
aminoglycoside	aac(3)-Ib-aac(6')-Ib'_1	AF355189	gentamicin
aminoglycoside	aac(3)-Ic_1	AJ511268	gentamicin
aminoglycoside	aac(3)-Id_1	AB114632	gentamicin
aminoglycoside	aac(3)-If_1	AY884051	gentamicin
aminoglycoside	aac(3)-Ig_1	CP000282	gentamicin
aminoglycoside	aac(3)-Ih_1	CP000490	gentamicin
aminoglycoside	aac(3)-Ii_1	CP000356	gentamicin
aminoglycoside	aac(3)-IIa_1	X51534	gentamicin
aminoglycoside	aac(3)-IIb_1	M97172	gentamicin
aminoglycoside	aac(3)-IIc_1	X54723	gentamicin
aminoglycoside	aac(3)-IId_1	EU022314	gentamicin
aminoglycoside	aac(3)-IIe_1	EU022315	gentamicin
aminoglycoside	aac(3)-IIIa_1	X55652	gentamicin
aminoglycoside	aac(3)-IIIb_1	L06160	gentamicin
aminoglycoside	aac(3)-IIIc_1	L06161	gentamicin
aminoglycoside	aac(3)-IVa_1	X01385	gentamicin
aminoglycoside	aac(3)-VIa_1	M88012	gentamicin
aminoglycoside	aac(3)-VIIa_1	M22999	gentamicin
aminoglycoside	aac(3)-VIIIa_1	M55426	gentamicin
aminoglycoside	aac(3)-IXa_1	M55427	gentamicin
aminoglycoside	aac(3)-Xa_1	AB028210	gentamicin
aminoglycoside	aac(6')-Ia_1	M18967	gentamicin
aminoglycoside	aac(6')-Ib_1	M21682	amikacin,gentamicin,kanamycin
aminoglycoside	aac(6')-Ic_1	M94066	gentamicin
aminoglycoside	aac(6')-If_1	X55353	amikacin,kanamycin
aminoglycoside	aac(6')-Ig_1	L09246	gentamicin
aminoglycoside	aac(6')-Ih_1	L29044	gentamicin
aminoglycoside	aac(6')-Ij_1	L29045	gentamicin
aminoglycoside	aac(6')-Ik_1	L29510	gentamicin
aminoglycoside	aac(6')-Ip_1	Z54241	gentamicin
aminoglycoside	aac(6')-Im_1	AF337947	gentamicin
aminoglycoside	aac(6')-Iq_1	AF047556	gentamicin
aminoglycoside	aac(6')-Ir_1	AF031326	gentamicin
aminoglycoside	aac(6')-Is_1	AF031327	gentamicin
aminoglycoside	aac(6')-It_1	AF031328	gentamicin
aminoglycoside	aac(6')-Iu_1	AF031329	gentamicin
aminoglycoside	aac(6')-Iv_1	AF031330	gentamicin
aminoglycoside	aac(6')-Iw_1	AF031331	gentamicin
aminoglycoside	aac(6')-Iz_1	AF140221	gentamicin
aminoglycoside	aac(6')-Iad_1	AB119105	gentamicin
aminoglycoside	aac(6')-Iae_1	AB104852	gentamicin
aminoglycoside	aac(6')-Iaf_1	AB462903	gentamicin
aminoglycoside	aac(6')-Iai_1	EU886977	gentamicin
aminoglycoside	aac(6')-I30_1	AY289608	gentamicin
aminoglycoside	aac(6')-31_1	AM283489	gentamicin
aminoglycoside	aac(6')-32_1	EF614235	gentamicin
aminoglycoside	aac(6')-33_1	GQ337064	gentamicin
aminoglycoside	aac(6')-IIa_1	M29695	gentamicin
aminoglycoside	aac(6')-IIb_1	L06163	gentamicin
aminoglycoside	aac(6')-IIc_1	NC_012555	gentamicin
aminoglycoside	aac(6')-aph(2'')_1	M13771	gentamicin
aminoglycoside	aac(6')-Isa_1	AB116646	gentamicin
aminoglycoside	aac(6')-Ib3_1	X60321	gentamicin
aminoglycoside	aacA43_1	HQ247816	gentamicin
aminoglycoside	ant(3'')-Ia_1	X02340	streptomycin
aminoglycoside	aadA1_2	FJ591054	streptomycin
aminoglycoside	aadA1_3	JQ414041	streptomycin
aminoglycoside	aadA1b_1	M95287	streptomycin
aminoglycoside	aadA1_4	JQ480156	streptomycin
aminoglycoside	aadA1_5	JX185132	streptomycin
aminoglycoside	aadA2_1	X68227	streptomycin
aminoglycoside	aadA2_2	JQ364967	streptomycin
aminoglycoside	aadA3_1	AF047479	streptomycin
aminoglycoside	aadA4_1	Z50802	streptomycin
aminoglycoside	aadA5_1	AF137361	streptomycin
aminoglycoside	aadA6_1	AF140629	streptomycin
aminoglycoside	aadA7_1	AF224733	streptomycin
aminoglycoside	aadA8_1	AF326210	streptomycin
aminoglycoside	aadA8b_1	AM040708	streptomycin
aminoglycoside	aadA9_1	AJ420072	streptomycin
aminoglycoside	aadA10_1	U37105	streptomycin
aminoglycoside	aadA11_1	AY144590	streptomycin
aminoglycoside	aadA12_1	AY665771	streptomycin
aminoglycoside	aadA13_1	AY713504	streptomycin
aminoglycoside	aadA14_1	AJ884726	streptomycin
aminoglycoside	aadA15_1	DQ393783	streptomycin
aminoglycoside	aadA16_1	EU675686	streptomycin
aminoglycoside	aadA17_1	FJ460181	streptomycin
aminoglycoside	aadA21_1	AY171244	streptomycin
aminoglycoside	aadA22_1	AM261837	streptomycin
aminoglycoside	aadA23_1	AJ809407	streptomycin
aminoglycoside	aadA24_1	AM711129	streptomycin
aminoglycoside	ant(2'')-Ia_18	M86913	spectinomycin,streptomycin
aminoglycoside	ant(6)-Ia_2	KF421157	streptomycin
aminoglycoside	aadD_1	AF181950	kanamycin
aminoglycoside	aadK_1	M26879	streptomycin
aminoglycoside	ant(3'')-Ih-aac(6')-IId_1	AF453998	gentamicin,streptomycin
aminoglycoside	ant(4')-Ib_1	AJ506108	gentamicin,kanamycin
aminoglycoside	ant(4')-IIa_1	M98270	gentamicin,kanamycin
aminoglycoside	ant(4')-IIb_1	AY114142	gentamicin,kanamycin
aminoglycoside	ant(6)-Ia_1	AF330699	streptomycin
aminoglycoside	ant(6)-Ib_1	FN594949	streptomycin
aminoglycoside	aph(2'')-Ib_1	AF337947	gentamicin
aminoglycoside	aph(2'')-Ic_1	U51479	gentamicin
aminoglycoside	aph(2'')-Id_1	AF016483	kanamycin
aminoglycoside	aph(2'')-Ie_1	AY743255	kanamycin
aminoglycoside	aph(3')-Ia_1	V00359	kanamycin
aminoglycoside	aph(3')-Ib_1	M20305	kanamycin
aminoglycoside	aph(3'')-Ic_1	DQ336355	kanamycin
aminoglycoside	aph(3')-Id_1	Z48231	kanamycin
aminoglycoside	aph(3')-IIa_1	X57709	kanamycin
aminoglycoside	aph(3')-IIb_1	X90856	kanamycin
aminoglycoside	aph(3')-IIc_1	AM743169	kanamycin
aminoglycoside	aph(3')-III_1	M26832	kanamycin
aminoglycoside	aph(3')-IV_1	X03364	kanamycin
aminoglycoside	aph(3')-Va_1	K00432	kanamycin
aminoglycoside	aph(3')-Vb_1	M22126	kanamycin
aminoglycoside	aph(3')-Vc_1	S81599	kanamycin
aminoglycoside	aph(3')-VIa_1	X07753	kanamycin
aminoglycoside	aph(3')-VIb_1	AJ627643	kanamycin
aminoglycoside	aph(3')-VIIa_1	M29953	kanamycin
aminoglycoside	aph(3')-VIII_1	ATGI01000028	kanamycin
aminoglycoside	aph(3')-XV_1	Y18050	kanamycin
aminoglycoside	aph(3'')-Ia_1	X53527	kanamycin
aminoglycoside	aph(4)-Ia_1	V01499	hygromicin
aminoglycoside	aph(4)-Ib_1	X03615	hygromicin
aminoglycoside	aph(6)-Ia_1	AY971801	kanamycin
aminoglycoside	aph(6)-Ib_1	X05648	kanamycin
aminoglycoside	aph(6)-Ic_1	X01702	streptomycin
aminoglycoside	aph(9)-Ia_1	U94857	kanamycin
aminoglycoside	aph(9)-Ib_1	U70376	kanamycin
aminoglycoside	rmtB2_1	JN968578	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	rmtf_1	JQ808129	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	rmtG_1	KJ004567	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	rmtH_1	KC544262	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	armA_1	AY220558	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	npmA_1	AB261016	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	rmtA_1	AB120321	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	rmtB_1	AB103506	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	rmtC_1	AB194779	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	rmtD_1	DQ914960	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	rmtD2_1	HQ401565	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	rmtE_1	GU201947	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	spc_1	X02588	spectinomycin
aminoglycoside	aac(6')-Ib-cr_1	DQ303918	gentamicin
aminoglycoside	aac(6')-Ib-cr_2	EF636461	gentamicin
aminoglycoside	strA_1	M96392	streptomycin
aminoglycoside	aph(3'')-Ib_1	M28829	streptomycin
aminoglycoside	aph(3'')-Ib_2	AF024602	streptomycin
aminoglycoside	aph(3'')-Ib_5	AF321551	streptomycin
aminoglycoside	aph(3'')-Ib_3	AF321550	streptomycin
aminoglycoside	aph(6)-Id_1	M28829	streptomycin
aminoglycoside	aph(6)-Id_2	AF024602	streptomycin
aminoglycoside	str_1	X92946	streptomycin
aminoglycoside	str_2	FN435330	streptomycin
aminoglycoside	str_3	AM932524	streptomycin
aminoglycoside	aac(3)-IIa_1	CP023555	gentamicin
aminoglycoside	aph(3')-VIj_1	KU922928	kanamycin
beta-lactam	blaOXA-427_1	KX827604	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	mecC_1	FR823292	penicillin
beta-lactam	blaNDM-17_1	KX812714	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaNDM-18_1	KY503030	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaNDM-11_1	KP265939	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaNDM-14_1	KM210086	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaNDM-15_1	KP735848	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaNDM-16_1	KP862821	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaCMH-3_1	KX192165	ampicillin
beta-lactam	blaSGM-7_1	NG050614	ampicillin
beta-lactam	blaOXA-307_1	NG050611	ampicillin,amoxicillin/clavulanic acid
beta-lactam	blaOXA-287_1	NG050609	ampicillin,amoxicillin/clavulanic acid
beta-lactam	blaOXA-293_1	NG050610	ampicillin,amoxicillin/clavulanic acid
beta-lactam	blaCARB-48_1	NG050604	ampicillin
beta-lactam	blaL_1	NG050597	ampicillin
beta-lactam	blaL_2	NG050596	ampicillin
beta-lactam	blaCARB-47_1	NG050564	ampicillin
beta-lactam	blaVHW-1_1	AF217648	ampicillin
beta-lactam	blaVHH-1_1	NG050334	ampicillin
beta-lactam	blaTER-2_1	FJ263090	ampicillin
beta-lactam	blaTER-1_1	FJ263091	ampicillin
beta-lactam	blaSST-1_1	AB008455	ampicillin,ceftriaxone
beta-lactam	blaSRT-1_1	AB008454	ampicillin,ceftriaxone
beta-lactam	blaSRT-2_1	AY524276	ampicillin,ceftriaxone
beta-lactam	blaSPU-1_1	GQ919044	ampicillin,ceftriaxone
beta-lactam	blaSPG-1_1	KP109680	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaSGM-6_1	NG049988	ampicillin
beta-lactam	blaSGM-5_1	NG049987	ampicillin
beta-lactam	blaSGM-4_1	CP002798	ampicillin
beta-lactam	blaSGM-2_1	AP010803	ampicillin
beta-lactam	blaSGM-1_1	AAQG01000013	ampicillin
beta-lactam	blaSCO-1_1	EF063111	ampicillin
beta-lactam	blaPLA-6A_1	DQ251478	ampicillin
beta-lactam	blaPLA-3A_1	AY507663	ampicillin
beta-lactam	blaPLA-4A_1	AY507664	ampicillin
beta-lactam	blaPLA-5A_1	DQ249871	ampicillin
beta-lactam	blaPLA2a_1	AY307385	ampicillin
beta-lactam	blaPLA1a_1	AY302757	ampicillin
beta-lactam	blaPEDO-3_1	KP109679	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaPEDO-2_1	KP109678	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaPEDO-1_1	KP109677	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaOXA-518_1	KU739134	ampicillin
beta-lactam	blaOXA-504_1	KT355710	ampicillin
beta-lactam	blaOXA-493_1	CP007774	ampicillin
beta-lactam	blaOXA-491_1	JAIV01000087	ampicillin
beta-lactam	blaOXA-466_1	KR061501	ampicillin
beta-lactam	blaOXA-465_1	KR061500	ampicillin
beta-lactam	blaOXA-464_1	JAIX01000028	ampicillin
beta-lactam	blaOXA-449_1	KR061498	ampicillin
beta-lactam	blaOXA-448_1	KR061497	ampicillin
beta-lactam	blaOXA-447_1	KR061496	ampicillin
beta-lactam	blaOXA-446_1	KR061495	ampicillin
beta-lactam	blaOXA-308_1	NG049603	ampicillin
beta-lactam	blaOXA-306_1	NG049602	ampicillin
beta-lactam	blaOXA-303_1	NG049599	ampicillin
beta-lactam	blaOXA-302_1	NG049598	ampicillin
beta-lactam	blaOXA-299_1	NG049594	ampicillin
beta-lactam	blaOXA-298_1	NG049593	ampicillin
beta-lactam	blaVCC-1_1	KT818596	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaPAM-1_1	AB858498	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaTMB-1_1	FR771847	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaTMB-2_1	AB758277	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone,meropenem
beta-lactam	blaACC-1_2	AM939420	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACC-2_1	AF180952	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACC-3_1	AF180958	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACC-4_1	GU256641	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-1_1	U58495	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-2_1	AM076977	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-3_1	EF125013	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-4_2	AJ311172	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-5_1	FJ237369	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-6_1	FJ237366	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-7_1	FJ237368	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-9_1	HQ693810	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-10_1	JN848330	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-12_1	JX440355	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-14_1	JX440354	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-15_1	JX440356	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaACT-16_1	AB737978	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaBEL-1_1	DQ089809	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaBEL-2_1	FJ666063	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaBEL-3_1	GQ202694	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCARB-1_1	AF313471	ampicillin
beta-lactam	blaCARB-2_1	M69058	ampicillin
beta-lactam	blaCARB-3_1	S46063	ampicillin
beta-lactam	blaCARB-4_1	U14749	ampicillin
beta-lactam	blaCARB-5_1	AF135373	ampicillin
beta-lactam	blaCARB-6_1	AF030945	ampicillin
beta-lactam	blaCARB-7_1	AF409092	ampicillin
beta-lactam	blaCARB-8_1	AY178993	ampicillin
beta-lactam	blaCARB-9_1	AY248038	ampicillin
beta-lactam	blaCARB-10_1	EU850412	ampicillin
beta-lactam	blaCARB-11_1	AY008290	ampicillin
beta-lactam	blaCARB-12_1	D13210	ampicillin
beta-lactam	cepA_1	L13472	ampicillin
beta-lactam	cepA_1	U05887	ampicillin
beta-lactam	cepA_6	FR688022	ampicillin
beta-lactam	cepA-49_1	U05886	ampicillin
beta-lactam	cepA-44_1	U05885	ampicillin
beta-lactam	cepA-29_1	U05884	ampicillin
beta-lactam	blaCMY-1_1	X92508	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-2_1	X91840	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-3_1	Y16783	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-4_1	Y15130	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-4_2	AF420597	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-4_3	HQ267531	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-5_1	Y17716	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-6_1	AJ011293	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-7_1	AY324388	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-8_1	EF382672	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-8_2	DQ094251	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-9_1	AB061794	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-10_1	AF373218	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-11_1	AF381626	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-12_1	Y16785	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-13_1	AY339625	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-14_1	EU600193	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-14_2	AJ555825	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-15_1	AJ555823	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-16_2	FJ855437	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-16_1	FM995219	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-17_1	AY513266	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-18_1	AY743434	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-19_1	AB194410	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-20_1	AY960293	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-21_1	DQ139328	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-22_1	DQ256079	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-23_1	DQ438952	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-24_1	EF415650	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-25_1	EU515249	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-26_1	AB300358	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-27_1	EU515250	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
beta-lactam	blaCMY-28_1	EF561644	ampicillin,amoxicillin/clavulanic acid,cefoxitin,ceftriaxone
