Class	Gene	Accession	Drug
aminoglycoside	aac(6')-Ib_2	M23634	gentamicin
aminoglycoside	aac(6')-Ib-11_1	AY136758	gentamicin
aminoglycoside	aac(6')-30-aac(6')-Ib'_1	AJ584652	gentamicin
aminoglycoside	aac(6')-Iaj_1	AB709942	gentamicin
aminoglycoside	aac(6')-Ian_1	AP014611	gentamicin
aminoglycoside	aac(6')-Iak_1	AB894482	gentamicin
aminoglycoside	aac(6')-Ib-Hangzhou_1	FJ503047	gentamicin
aminoglycoside	aac(6')-Ib-Suzhou_1	EU085533	gentamicin
aminoglycoside	aac(6')-Iid_1	AJ584700	gentamicin
aminoglycoside	aac(6')-Iih_1	AJ584701	gentamicin
aminoglycoside	aac(6')-Iz_2	AB971834	gentamicin
aminoglycoside	aac(6')-29b_1	AF263519	gentamicin
aminoglycoside	aac(6')-29a_1	AF263519	gentamicin
aminoglycoside	aac(6')-Iaa_1	NC_003197	gentamicin
aminoglycoside	aac(6')-Ih_2	KT778788	gentamicin
aminoglycoside	aac(6')-Ix_1	AF031332	gentamicin
aminoglycoside	aac(6')-Il_1	U13880	gentamicin
aminoglycoside	aac(6')-Ia_2	M86913	gentamicin
aminoglycoside	aac(6')-Iag_1	AB472901	gentamicin
aminoglycoside	aac(2')-IIa_1	AB669090	gentamicin
aminoglycoside	kamB_1	AJ629123	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	grmO_1	AY524043	gentamicin
aminoglycoside	fmrO_1	Q08325	amikacin,gentamicin,kanamycin,streptomycin
aminoglycoside	grmB_1	M55521	gentamicin
aminoglycoside	grmA_1	M55520	gentamicin
aminoglycoside	kgmB_1	S60108	gentamicin,kanamycin
aminoglycoside	sgm_1	M87057	gentamicin
aminoglycoside	aph(3')-VI_2	APPJ01000012	kanamycin
aminoglycoside	aph(3')-IX_1	APPN01000061	kanamycin
aminoglycoside	aadA13_2	NC010643	streptomycin
aminoglycoside	aadA11_2	AJ567827	streptomycin
aminoglycoside	aadA10_2	AM087405	streptomycin
aminoglycoside	aadA7_2	AB114632	streptomycin
aminoglycoside	aadA2_1	NC010870	streptomycin
aminoglycoside	aadD_2	M19465	amikacin,tobramycin
aminoglycoside	aph(2'')-Ib_2	AF207840	kanamycin
aminoglycoside	aph(7'')-Ia_1	X03615	kanamycin
aminoglycoside	aph(9)-Ia_2	CR628337	kanamycin
aminoglycoside	aph(6)-Ia_2	Y00459	kanamycin
aminoglycoside	aph(6)-Id_1	M28829	kanamycin
aminoglycoside	aph(6)-Id_3	AB109805	kanamycin
aminoglycoside	aph(6)-Id_4	CP000971	kanamycin
aminoglycoside	aph(6)-Id_5	18676889	kanamycin
aminoglycoside	aph(3'')-Ia_2	AP009493	kanamycin
aminoglycoside	aph(3'')-Ia_3	M37378	kanamycin
aminoglycoside	aph(3'')-Ib_1	M28829	kanamycin
aminoglycoside	aph(3'')-Ib_2	AF024602	kanamycin
aminoglycoside	aph(3'')-Ib_3	AF321550	kanamycin
aminoglycoside	aph(3'')-Ib_4	AF313472	kanamycin
aminoglycoside	aadE-Cc_1	CP013733	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_2	JF826500	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_3	X74412	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_4	AF458082	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_5	AY139594	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_6	AJ871915	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_7	DQ018384	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_8	AY920928	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_9	HM367610	gentamicin,kanamycin
aminoglycoside	ant(2'')-Ia_10	HM367617	gentamicin,kanamycin
